[23Mar2024 19:46:32.451] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--username, A_Dev, --version, 1.20.1, --gameDir, C:/Users/Zelda/Documents/PrismLauncher/instances/The Big SMP/.minecraft, --assetsDir, C:/Users/Zelda/AppData/Roaming/PrismLauncher/assets, --assetIndex, 5, --uuid, 5edcc20e57fd493b99050c49cdec52d2, --accessToken, ????????, --userType, msa, --versionType, release, --launchTarget, forgeclient, --fml.forgeVersion, 47.1.102, --fml.fmlVersion, 47.2.2, --fml.mcVersion, 1.20.1, --fml.mcpVersion, 20230612.114412, --width, 854, --height, 480]
[23Mar2024 19:46:32.461] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.10 by Oracle Corporation; OS Windows 11 arch amd64 version 10.0
[23Mar2024 19:46:35.529] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ars_nouveau-1.20.1-4.10.0-all.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.529] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "athena-forge-1.20.1-3.1.2.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AttributeFix-Forge-1.20.1-21.0.4.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "balm-forge-1.20.1-7.2.2.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BetterAdvancements-1.20.1-0.3.2.162.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BetterAnimationsCollection-v8.0.0-1.20.1-Forge.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "betterfpsdist-1.20.1-4.3.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "bettervillage-forge-1.20.1-3.2.0.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BiomesOPlenty-1.20.1-18.0.0.598.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Boat-Item-View-Forge-1.20.1-0.0.5.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Bookshelf-Forge-1.20.1-20.1.9.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Bountiful-6.0.3+1.20.1-forge.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "caelus-forge-3.1.0+1.20.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "callablehorses-1.20.1-1.3.0.1.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "canary-mc1.20.1-0.3.3.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "carryon-forge-1.20.1-2.1.2.7.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cfm-forge-1.20.1-7.0.0-pre36.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "chat_heads-0.10.32-forge-1.20.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Chipped-forge-1.20.1-3.0.4.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "chisels-and-bits-forge-1.4.147.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Chunky-1.3.136.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "citadel-2.5.4-1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.530] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cloth-config-11.1.118-forge.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Clumps-forge-1.20.1-12.0.0.3.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "collective-1.20.1-7.40.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "comforts-forge-6.3.5+1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "connectivity-1.20.1-5.4.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "constructionwand-1.20.1-2.11.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Controlling-forge-1.20.1-12.0.2.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cookingforblockheads-forge-1.20.1-16.0.3.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "corpse-forge-1.20.1-1.0.12.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cosmeticarmorreworked-1.20.1-v1a.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "craftingtweaks-forge-1.20.1-18.2.3.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-1.20.1-0.5.1.f.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-stuff-additions1.20.1_v2.0.4a.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_central_kitchen-1.20.1-for-create-0.5.1.f-1.3.10.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createdeco-2.0.1-1.20.1-forge.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createliquidfuel-2.1.0-1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cupboard-1.20.1-2.6.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "curios-forge-5.7.2+1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "deeperdarker-forge-1.20.1-1.2.1.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "deuf-1.20.1-1.3.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "dynamiclightsreforged-1.20.1_v1.6.0.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "EasyAnvils-v8.0.2-1.20.1-Forge.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "EasyMagic-v8.0.1-1.20.1-Forge.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "EffectTooltips-Forge-1.20.1-9.0.2.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "elytraslot-forge-6.3.0+1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.531] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "embeddium-0.3.9+mc1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "embeddiumplus-1.20.1-v1.2.5.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emotecraft-for-MC1.20.1-2.2.7-b.build.50-forge.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "EnchantmentDescriptions-Forge-1.20.1-17.0.14.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "entityculling-forge-1.6.2-mc1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FarmersDelight-1.20.1-1.2.4.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FastLeafDecay-31.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FastWorkbench-1.20.1-8.0.4.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ferritecore-6.0.1-forge.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "foodeffecttooltips-1.0.1+forge-1.20.jar.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FramedBlocks-9.2.1.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "framework-forge-1.20.1-0.6.27.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "freecam-forge-1.2.1+1.20.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "fusion-1.1.1-forge-mc1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "gamemenumodoption-mc1.20.1-2.2.1.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "gjeb-forge-1.20.1-1.3.0.32.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "guardvillagers-1.20.1-1.6.4.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ImmediatelyFast-Forge-1.2.10+1.20.4.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "immersive_paintings-0.6.7+1.20.1-forge.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "inventorypets-1.20.1-2.1.1.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "inventorysorter-1.20.1-23.0.1.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "item-filters-forge-2001.1.0-build.59.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Jade-1.20.1-forge-11.8.0.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "JadeAddons-1.20.1-forge-5.2.2.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "jei-1.20.1-forge-15.3.0.4.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "JustEnoughGuns-0.2.0-1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.532] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "JustEnoughProfessions-forge-1.20.1-3.0.1.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
[23Mar2024 19:46:35.533] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "JustEnoughResources-1.20.1-1.4.0.247.jar" of type MOD with provider {mods folder locator at C:\Users\Zelda\Documents\PrismLauncher\instances\The Big SMP\.minecraft\mods}
